M&A SDC Deal Number,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(EUR, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisor Name
('|')","Acquiror Financial Advisor Name
('|')","Target Net Sales Last 12 Months
(EUR, Millions)","EBITDA Last 12 Months
(EUR, Millions)","Enterprise Value at Announcement
(EUR, Millions, '|')",Target Industry Sector,Target Public Status,,Year
3278092040,15/08/2018,15/08/2018,31.43,Kolonial.no AS,High Technology,E-commerce / B2B,Norway,Kinnevik AB,Financials,Other Financials,Sweden,SEB,,81.40,-24.48,190.66,Business Services,Private,,"2,018.00"
3284073040,10/08/2018,10/08/2018,105.85,Gruppo Ceramiche Ricchetti SpA,Materials,Construction Materials,Italy,Finkeramos SpA,Financials,Other Financials,Italy,,Houlihan Lokey|Leonardo & Co,82.91,-1.99,111.70,"Stone, Clay, Glass, and Concrete Products",Public,,"2,018.00"
3284150040,10/08/2018,10/08/2018,1.89,Gruppo Ceramiche Ricchetti SpA,Materials,Construction Materials,Italy,Finkeramos SpA,Financials,Other Financials,Italy,,Houlihan Lokey|Leonardo & Co,82.91,-1.99,111.70,"Stone, Clay, Glass, and Concrete Products",Public,,"2,018.00"
3275534020,09/08/2018,09/08/2018,17.35,BioLife Solutions Inc,Healthcare,Healthcare Equipment & Supplies,United States,Casdin Capital LLC,Financials,Alternative Financial Investments,United States,,,12.92,1.28,199.95,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,018.00"
3275731020,09/08/2018,09/08/2018,104.30,Medley Management Inc,Financials,Asset Management,United States,Sierra Income Corp,Financials,Other Financials,United States,Barclays|Goldman Sachs & Co|Sandler O'Neill Partners,Broadhaven Capital Partners,25.29,4.70,105.06,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3327127040,09/08/2018,09/08/2018,8.39,CannaRoyalty Corp,Financials,Other Financials,Canada,CannaRoyalty Corp,Financials,Other Financials,Canada,,,3.89,-13.43,158.53,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3275028040,07/08/2018,07/08/2018,118.69,Harvey Nash Group PLC,Consumer Products and Services,Employment Services,United Kingdom,The Power Of Talent Ltd,Financials,Other Financials,United Kingdom,Rothschild & Co|Panmure Gordon (UK) Ltd,Deloitte & Touche,848.88,17.76,142.48,Business Services,Public,,"2,018.00"
3366105040,06/08/2018,06/08/2018,45.00,GxP German Properties AG,Financials,Other Financials,Germany,Summit Germany Ltd,Real Estate,REITs,Guernsey,,,19.53,3.66,162.34,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3273570020,02/08/2018,02/08/2018,166.61,Jamba Inc,Retail,Food & Beverage Retailing,United States,Focus Brands Inc,Consumer Products and Services,Professional Services,United States,North Point Advisor LLC,,67.15,1.85,167.70,Retail Trade-Eating and Drinking Places,Public,,"2,018.00"
3274243040,01/08/2018,01/08/2018,2.22,Luceco PLC,Industrials,Other Industrials,United Kingdom,EPIC Investments LLP,Financials,Other Financials,United Kingdom,,Numis Securities Ltd,189.22,11.74,117.68,Electronic and Electrical Equipment,Public,,"2,018.00"
3270691020,25/07/2018,25/07/2018,163.70,Skagit Bancorp Inc,Financials,Banks,United States,Banner Corp,Financials,Banks,United States,Sandler O'Neill Partners,DA Davidson & Co Inc,19.71,12.28,188.82,"Commercial Banks, Bank Holding Companies",Private,,"2,018.00"
3271759040,25/07/2018,25/07/2018,250.00,Sushi Shop Group SAS,Retail,Food & Beverage Retailing,France,AmRest Holdings SE,Retail,Food & Beverage Retailing,Poland,Lazard,,129.86,15.51,234.30,Retail Trade-Eating and Drinking Places,Private,,"2,018.00"
3270608040,24/07/2018,24/07/2018,9.67,BP Marsh & Partners PLC,Financials,Alternative Financial Investments,United Kingdom,BP Marsh & Partners PLC,Financials,Alternative Financial Investments,United Kingdom,,Panmure Gordon & Co Ltd,26.58,19.06,115.49,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3272262040,24/07/2018,24/07/2018,265.00,Goldbet Srl,Media and Entertainment,Casinos & Gaming,Italy,Gamenet Group SpA,Media and Entertainment,Casinos & Gaming,Italy,,PricewaterhouseCoopers|UniCredit Group,199.39,38.82,217.71,Amusement and Recreation Services,Private,,"2,018.00"
3268045020,18/07/2018,18/07/2018,64.88,Anchor Bancorp,Financials,Banks,United States,FS Bancorp Inc,Financials,Other Financials,United States,Raymond James,Keefe Bruyette & Woods Inc,18.55,5.85,96.79,"Savings and Loans, Mutual Savings Banks",Public,,"2,018.00"
3268290040,17/07/2018,17/07/2018,15.06,EOS Imaging SA,Healthcare,Healthcare Equipment & Supplies,France,Fosun Pharmaceutical AG,Financials,Other Financials,Switzerland,,,38.17,-4.93,117.72,Health Services,Public,,"2,018.00"
3307423040,17/07/2018,17/07/2018,72.66,Mittel SpA,Financials,Alternative Financial Investments,Italy,Progetto Co-Val SpA,Financials,Other Financials,Italy,,Banca Profilo SpA|Intermonte SIM SpA,58.06,25.87,227.42,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3297941040,16/07/2018,16/07/2018,6.66,Herige SA,Materials,Construction Materials,France,Herige SA,Materials,Construction Materials,France,,,559.62,22.60,193.12,Wholesale Trade-Durable Goods,Public,,"2,018.00"
3267429040,13/07/2018,13/07/2018,109.17,Cooke Optics Group Ltd,Healthcare,Healthcare Equipment & Supplies,United Kingdom,Caledonia Investments PLC,Financials,Other Financials,United Kingdom,PricewaterhouseCoopers,Alvarez & Marsal,27.16,10.15,132.05,"Measuring, Medical, Photo Equipment; Clocks",Private,,"2,018.00"
3271860040,12/07/2018,12/07/2018,22.53,Banimmo SA,Real Estate,Other Real Estate,Belgium,Patronale Life NV,Financials,Insurance,Belgium,Oaklins,KBC Bank NV,99.34,6.79,93.10,Real Estate; Mortgage Bankers and Brokers,Public,,"2,018.00"
3384223040,12/07/2018,12/07/2018,26.45,Bulgartabac Holding AD,Consumer Staples,Tobacco,Bulgaria,Investor Group,Financials,Other Financials,Liechtenstein,,,309.40,157.69,117.86,Tobacco Products,Public,,"2,018.00"
3266292020,11/07/2018,11/07/2018,79.12,Poage Bankshares Inc,Financials,Banks,United States,"City Holding Co,Charleston, West Virginia",Financials,Banks,United States,Sandler O'Neill Partners,Keefe Bruyette & Woods Inc,6.51,1.53,87.74,"Savings and Loans, Mutual Savings Banks",Public,,"2,018.00"
3269231040,10/07/2018,10/07/2018,151.80,Hiku Brands Co Ltd,Healthcare,Pharmaceuticals,Canada,Canopy Growth Corp,Healthcare,Pharmaceuticals,Canada,BMO Capital Markets|INFOR Financial,"Xiamen International Bank|Greenhill & Co, LLC",0.37,-13.25,151.89,Drugs,Public,,"2,018.00"
3316845040,06/07/2018,06/07/2018,9.53,Belships ASA,Industrials,Transportation & Infrastructure,Norway,Investor Group,Financials,Other Financials,Norway,,,26.19,11.97,211.03,Transportation and Shipping (except air),Public,,"2,018.00"
3265095040,05/07/2018,28/08/2018,194.29,Sinclair IS Pharma PLC,Healthcare,Pharmaceuticals,United Kingdom,Huadong Medicine Aesthetics Investment (HongKong) Ltd,Financials,Other Financials,China (Mainland),Rothschild & Co|RBC Capital Markets|Peel Hunt LLP,Piper Jaffray,52.57,-0.84,199.13,Drugs,Public,,"2,018.00"
3263097020,03/07/2018,03/07/2018,105.07,Juniper Pharmaceuticals Inc,Healthcare,Pharmaceuticals,United States,Catalent Inc,Healthcare,Pharmaceuticals,United States,Rothschild & Co|Chestnut Securities Inc,,26.39,0.32,104.93,Drugs,Public,,"2,018.00"
3265892040,02/07/2018,02/07/2018,131.67,Carclo PLC,Materials,Containers & Packaging,United Kingdom,Consort Medical PLC,Healthcare,Healthcare Equipment & Supplies,United Kingdom,Rothschild & Co,Evercore Partners|RBC Capital Markets|Investec Bank PLC,166.32,17.99,131.52,Wholesale Trade-Nondurable Goods,Public,,"2,018.00"
3303778040,28/06/2018,02/07/2018,28.88,Navios Maritime Midstream Partners LP,Industrials,Transportation & Infrastructure,Monaco,Navios Maritime Acquisition Corp,Industrials,Transportation & Infrastructure,Greece,Simmons Energy,S Goldman Advisors LLC,70.03,48.97,214.33,Transportation and Shipping (except air),Public,,"2,018.00"
3430071040,21/06/2018,21/06/2018,14.11,MCI Capital SA,Financials,Alternative Financial Investments,Poland,MCI Capital SA,Financials,Alternative Financial Investments,Poland,,Noble Securities SA,43.03,41.97,168.74,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3263221040,19/06/2018,19/06/2018,13.75,Ovostar Union NV,Consumer Staples,Agriculture & Livestock,Ukraine,Ovostar Union NV,Consumer Staples,Agriculture & Livestock,Ukraine,,,96.81,27.70,126.03,"Agriculture, Forestry, and Fishing",Public,,"2,018.00"
3085989020,18/06/2018,18/06/2018,220.40,Energy XXI Gulf Coast Inc,Energy and Power,Oil & Gas,United States,Cox Operating LLC,Energy and Power,Oil & Gas,United States,Intrepid Partners LLC,Houlihan Lokey,426.15,60.21,220.11,Oil and Gas; Petroleum Refining,Public,,"2,018.00"
3256901040,18/06/2018,18/06/2018,120.16,MWR InfoSecurity Ltd,High Technology,IT Consulting & Services,United Kingdom,F-Secure Oyj,High Technology,IT Consulting & Services,Finland,,Arma Partners LLP,24.63,0.07,117.30,Business Services,Private,,"2,018.00"
3256648040,15/06/2018,15/06/2018,70.00,Missoni SpA,Consumer Staples,Textiles & Apparel,Italy,FSI Mid Market Growth Equity Fund,Financials,Other Financials,Italy,Rothschild & Co,,60.77,-5.90,133.80,Textile and Apparel Products,Private,,"2,018.00"
3262657040,14/06/2018,14/06/2018,10.93,Lafuma SA,Consumer Staples,Textiles & Apparel,France,CALIDA Holding AG,Consumer Staples,Textiles & Apparel,Switzerland,,,160.54,9.26,112.42,Textile and Apparel Products,Public,,"2,018.00"
3314646040,13/06/2018,13/06/2018,77.19,Belships ASA,Industrials,Transportation & Infrastructure,Norway,Consensio AS,Industrials,Transportation & Infrastructure,Norway,,Danske Bank,23.92,11.24,80.22,Transportation and Shipping (except air),Public,,"2,018.00"
3342212040,12/06/2018,12/06/2018,9.56,MCI Capital SA,Financials,Alternative Financial Investments,Poland,MCI Management Sp z o o,Financials,Other Financials,Poland,,,33.75,32.63,182.40,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3253214040,07/06/2018,07/06/2018,56.06,Nine United Denmark A/S,Consumer Products and Services,Home Furnishings,Denmark,Herman Miller Holdings Ltd,Consumer Products and Services,Home Furnishings,United Kingdom,,,124.54,12.66,161.47,"Wood Products, Furniture, and Fixtures",Private,,"2,018.00"
3266626040,07/06/2018,07/06/2018,9.10,Clasquin SA,Industrials,Transportation & Infrastructure,France,Clasquin SA,Industrials,Transportation & Infrastructure,France,,,290.59,7.91,103.22,Transportation and Shipping (except air),Public,,"2,018.00"
3253862040,06/06/2018,07/06/2018,120.00,Goiko Gourmet SL,Retail,Food & Beverage Retailing,Spain,L Catterton Management Ltd,Financials,Alternative Financial Investments,United States,,PricewaterhouseCoopers|Rothschild & Co,22.80,12.23,154.56,Retail Trade-Eating and Drinking Places,Private,,"2,018.00"
3251874020,05/06/2018,05/06/2018,88.14,Central Steel & Wire Co,Materials,Metals & Mining,United States,Ryerson Holding Corp,Materials,Metals & Mining,United States,"Brown, Gibbons, Lang & Co LP|Duff & Phelps Corp",,500.83,-9.17,87.99,Wholesale Trade-Durable Goods,Public,,"2,018.00"
3252007020,05/06/2018,05/06/2018,132.64,Xtreme Drilling Corp,Energy and Power,Oil & Gas,United States,Akita Drilling Ltd,Energy and Power,Oil & Gas,Canada,Tudor Pickering Holt & Co LLC,ATB Financial,45.90,0.60,132.63,Oil and Gas; Petroleum Refining,Public,,"2,018.00"
3394297040,05/06/2018,05/06/2018,3.72,Medea SA,Industrials,Building/Construction & Engineering,France,Medea SA,Industrials,Building/Construction & Engineering,France,,,22.90,4.56,160.67,Metal and Metal Products,Public,,"2,018.00"
3398116040,04/06/2018,04/06/2018,10.49,Prodware SA,High Technology,IT Consulting & Services,France,Prodware SA,High Technology,IT Consulting & Services,France,,,167.69,30.76,165.51,Business Services,Public,,"2,018.00"
3249443040,28/05/2018,28/05/2018,68.78,Zephyro SpA,High Technology,IT Consulting & Services,Italy,Edison Next SpA,Consumer Products and Services,Professional Services,Italy,Mediobanca|UBI Banca SpA,UniCredit Group,64.35,13.50,90.50,Business Services,Public,,"2,018.00"
3249466040,28/05/2018,28/05/2018,20.78,Zephyro SpA,High Technology,IT Consulting & Services,Italy,Edison Next SpA,Consumer Products and Services,Professional Services,Italy,Mediobanca,,64.35,13.50,90.50,Business Services,Public,,"2,018.00"
3385299040,28/05/2018,31/10/2018,40.39,Petrokemija dd,Materials,Chemicals,Croatia,Investor Group,Financials,Other Financials,Croatia,,,242.68,-19.02,125.44,Chemicals and Allied Products,Public,,"2,018.00"
3248899040,25/05/2018,25/05/2018,187.68,Lafert SpA,Energy and Power,Other Energy & Power,Italy,SUMITOMO HEAVY INDUSTRIES LTD,Industrials,Machinery,Japan,Frontier Management Inc|Scouting SpA,GCA Altium Ltd,87.62,5.31,187.68,Electronic and Electrical Equipment,Private,,"2,018.00"
3248432020,24/05/2018,24/05/2018,27.87,Manitex International Inc,Industrials,Machinery,United States,Tadano Ltd,Industrials,Machinery,Japan,,SMBC Nikko Securities Inc|SMBC Nikko Securities America,163.89,4.44,230.87,Machinery,Public,,"2,018.00"
3248511040,23/05/2018,23/05/2018,100.08,Westag & Getalit AG,Materials,Construction Materials,Germany,Broadview Industries BV,Materials,Paper & Forest Products,Netherlands,,,235.58,19.54,167.02,"Wood Products, Furniture, and Fixtures",Public,,"2,018.00"
3478999040,23/05/2018,23/05/2018,19.21,Lentex SA,Industrials,Building/Construction & Engineering,Poland,Lentex SA,Industrials,Building/Construction & Engineering,Poland,,Millennium Dom Maklerski SA,112.66,14.60,111.36,Miscellaneous Manufacturing,Public,,"2,018.00"
3246956040,22/05/2018,22/05/2018,89.46,Iron Bridge Resources Inc,Energy and Power,Oil & Gas,Canada,Velvet Energy Ltd,Energy and Power,Oil & Gas,Canada,Cormark Securities Inc,BMO Capital Markets,15.38,-1.76,89.33,Oil and Gas; Petroleum Refining,Public,,"2,018.00"
3266152040,17/05/2018,17/05/2018,14.56,Dom Security SA,Industrials,Other Industrials,France,Dom Security SA,Industrials,Other Industrials,France,,,174.44,22.25,124.54,Metal and Metal Products,Public,,"2,018.00"
3131573040,16/05/2018,16/05/2018,67.00,On Entertainment SAS,Media and Entertainment,Motion Pictures / Audio Visual,France,Mediawan SA,Media and Entertainment,Motion Pictures / Audio Visual,France,Rothschild & Co,,7.15,0.24,138.25,Motion Picture Production and Distribution,Private,,"2,018.00"
3267061040,11/05/2018,11/05/2018,23.75,Centrotec Sustainable AG,High Technology,Electronics,Germany,Centrotec Sustainable AG,High Technology,Electronics,Germany,,,596.22,52.25,236.93,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,018.00"
3242773040,09/05/2018,09/05/2018,114.44,Mitula Group Ltd,High Technology,Internet Software & Services,Spain,LIFULL Co Ltd,High Technology,Internet Software & Services,Japan,Stratford Capital Partners LP,PricewaterhouseCoopers|Mizuho Bank Ltd|KPMG FAS Co Ltd|Grant Samuel,21.85,7.57,114.39,Business Services,Public,,"2,018.00"
3364690020,09/05/2018,09/05/2018,32.64,National Bankshares Inc,Financials,Banks,United States,National Bankshares Inc,Financials,Banks,United States,,,34.72,15.70,216.67,"Commercial Banks, Bank Holding Companies",Public,,"2,018.00"
3260510020,07/05/2018,07/05/2018,2.79,Clarus Corp,Consumer Products and Services,Other Consumer Products,United States,Clarus Corp,Consumer Products and Services,Other Consumer Products,United States,,,148.04,4.00,212.24,Miscellaneous Manufacturing,Public,,"2,018.00"
3328698020,03/05/2018,03/05/2018,4.89,Eastern Co,Industrials,Other Industrials,United States,Eastern Co,Industrials,Other Industrials,United States,,,184.76,15.52,164.69,Metal and Metal Products,Public,,"2,018.00"
3242030040,02/05/2018,02/05/2018,6.01,Heurtey Petrochem SA,Industrials,Other Industrials,France,Axens SA,Energy and Power,Oil & Gas,France,,Invest Securities|Detroyat Associes SA,235.55,-35.43,135.25,Metal and Metal Products,Public,,"2,018.00"
3239842040,27/04/2018,27/04/2018,111.11,Railwaycar-Building Works Tver JSC,Industrials,Machinery,Russia,Lokotekh-Servis OOO,Industrials,Transportation & Infrastructure,Russia,,,523.17,49.32,149.67,Transportation Equipment,Public,,"2,018.00"
3238809020,26/04/2018,26/04/2018,97.11,Mattersight Corp,Consumer Products and Services,Professional Services,United States,NICE Ltd,High Technology,Software,Israel,Union Square Advisors LLC,,39.98,-3.17,101.23,Business Services,Public,,"2,018.00"
3261433020,26/04/2018,26/04/2018,5.57,Provident Financial Holdings Inc,Financials,Banks,United States,Provident Financial Holdings Inc,Financials,Banks,United States,,,47.79,9.33,204.03,"Savings and Loans, Mutual Savings Banks",Public,,"2,018.00"
3238412020,25/04/2018,25/04/2018,124.43,"Northwest Bancorp Inc,Spokane,WA",Financials,Banks,United States,First Interstate BancSystem Inc,Financials,Banks,United States,DA Davidson & Co Inc,Sandler O'Neill Partners,28.80,9.46,140.80,"Commercial Banks, Bank Holding Companies",Public,,"2,018.00"
3238955040,25/04/2018,28/06/2018,127.14,Carbures Europe SA,Materials,Other Materials,Spain,Inypsa Informes Y Proyectos SA,Industrials,Building/Construction & Engineering,Spain,,BDO,79.87,-5.05,127.23,Electronic and Electrical Equipment,Public,,"2,018.00"
3236603040,19/04/2018,19/04/2018,128.80,WeedMD Inc,Healthcare,Pharmaceuticals,Canada,Hiku Brands Co Ltd,Healthcare,Pharmaceuticals,Canada,Eight Capital,BMO Capital Markets,1.63,-4.49,128.66,Drugs,Public,,"2,018.00"
3235161040,16/04/2018,16/04/2018,93.42,Aveda Transportation & Energy Services Inc,Industrials,Transportation & Infrastructure,Canada,Daseke Inc,Industrials,Transportation & Infrastructure,United States,Canaccord Genuity Corp,,137.79,10.91,93.36,Transportation and Shipping (except air),Public,,"2,018.00"
3239501040,10/04/2018,10/04/2018,29.80,lastminute.com group NV,Consumer Products and Services,Travel Services,Switzerland,lastminute.com group NV,Consumer Products and Services,Travel Services,Switzerland,,,258.83,13.92,152.87,Transportation and Shipping (except air),Public,,"2,018.00"
3233725040,09/04/2018,14/06/2018,135.04,Speirs & Jeffrey Ltd,Financials,Asset Management,United Kingdom,Rathbone Brothers PLC,Financials,Asset Management,United Kingdom,Spencer House Partners LLP,RBC Capital Markets|Peel Hunt LLP,31.76,11.79,114.63,Investment & Commodity Firms/Dealers/Exchanges,Private,,"2,018.00"
3230631040,29/03/2018,29/03/2018,140.00,L Aromatika Srl,Consumer Staples,Food and Beverage,Italy,Italmobiliare SpA,Financials,Other Financials,Italy,Ernst & Young LLP|Long Term Partners SpA,Houlihan Lokey|Leonardo & Co,93.64,20.29,206.18,Food and Kindred Products,Private,,"2,018.00"
3232536040,29/03/2018,29/03/2018,40.24,Colian Holding SA,Consumer Staples,Food and Beverage,Poland,Investor Group,Financials,Other Financials,Poland,,,228.74,18.78,185.26,Food and Kindred Products,Public,,"2,018.00"
3229257020,28/03/2018,28/03/2018,111.08,Willbros Group Inc,Energy and Power,Oil & Gas,United States,Primoris Services Corp,Energy and Power,Pipelines,United States,"Greenhill & Co, LLC",Houlihan Lokey,708.55,-58.31,111.93,Construction Firms,Public,,"2,018.00"
3228126020,26/03/2018,26/03/2018,156.47,NeuLion Inc,Media and Entertainment,Cable,United States,WME IMG LLC,Media and Entertainment,Advertising & Marketing,United States,Needham & Co LLC,The Raine Group LLC,103.17,-3.37,155.33,Radio and Television Broadcasting Stations,Public,,"2,018.00"
3228474020,26/03/2018,26/03/2018,1.01,Bimini Capital Management Inc,Real Estate,REITs,United States,Bimini Capital Management Inc,Real Estate,REITs,United States,,,8.18,0.38,200.58,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3345390040,22/03/2018,22/03/2018,58.19,Highlight Communications AG,Media and Entertainment,Motion Pictures / Audio Visual,Switzerland,Highlight Event & Entertainment AG,Media and Entertainment,Advertising & Marketing,Switzerland,,,320.26,122.26,200.82,Motion Picture Production and Distribution,Public,,"2,018.00"
3226811040,21/03/2018,21/03/2018,16.01,Asetek A/S,High Technology,Computers & Peripherals,Denmark,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,48.51,3.56,238.78,Computer and Office Equipment,Public,,"2,018.00"
3227899040,20/03/2018,20/03/2018,8.23,Kitron ASA,High Technology,Electronics,Norway,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,26.55,2.19,167.25,Electronic and Electrical Equipment,Public,,"2,018.00"
3225831040,19/03/2018,19/03/2018,229.00,Olympic Entertainment Group AS,Media and Entertainment,Casinos & Gaming,Estonia,Odyssey Europe AS,Financials,Other Financials,Estonia,,Morgan Stanley|Global Leisure Partners LLP,172.55,47.32,229.00,Amusement and Recreation Services,Public,,"2,018.00"
3225433040,16/03/2018,16/03/2018,131.78,9374-8572 Quebec Inc,High Technology,IT Consulting & Services,Canada,Edgewater Technology Inc,High Technology,IT Consulting & Services,United States,Desjardins Capital Markets,William Blair & Co,91.35,-0.07,92.65,Business Services,Private,,"2,018.00"
3227242020,13/03/2018,13/03/2018,17.05,Athersys Inc,Healthcare,Pharmaceuticals,United States,Healios KK,Healthcare,Pharmaceuticals,Japan,,,3.09,-27.17,155.09,Drugs,Public,,"2,018.00"
3285521040,12/03/2018,12/03/2018,0.47,Kredobank PAT,Financials,Banks,Ukraine,Powszechna Kasa Oszczednosci Bank Polski SA,Financials,Banks,Poland,,,44.71,16.92,126.94,"Commercial Banks, Bank Holding Companies",Public,,"2,018.00"
3222331020,11/03/2018,11/03/2018,183.51,Cogentix Medical Inc,Healthcare,Healthcare Equipment & Supplies,United States,Laborie Medical Technologies Inc,Healthcare,Healthcare Equipment & Supplies,United States,Duff & Phelps Corp,,21.38,-5.09,183.51,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,018.00"
3344517040,09/03/2018,09/03/2018,22.08,Nyesa Valores Corp SA,Real Estate,REITs,Spain,Olaf Y Rubi SL,Real Estate,REITs,Spain,,,0.68,0.41,137.49,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3220379040,07/03/2018,07/03/2018,144.50,Traconf Srl,Industrials,Transportation & Infrastructure,Italy,Nippon Express Europe GmbH,Industrials,Transportation & Infrastructure,Germany,,Nomura Securities,57.48,5.44,141.66,Transportation and Shipping (except air),Private,,"2,018.00"
3221174040,07/03/2018,07/03/2018,83.97,C M Downton (Haulage Contractors) Ltd,Industrials,Transportation & Infrastructure,United Kingdom,EmergeVest Ltd,Financials,Alternative Financial Investments,Cayman Islands,KPMG,,133.22,9.53,93.65,Transportation and Shipping (except air),Private,,"2,018.00"
3221336040,07/03/2018,07/03/2018,53.12,Cona Resources Ltd,Energy and Power,Oil & Gas,Canada,Waterous Energy Fund LP,Financials,Alternative Financial Investments,Canada,CIBC World Markets Inc,,9.05,-1.54,150.93,Oil and Gas; Petroleum Refining,Public,,"2,018.00"
3221611020,07/03/2018,07/03/2018,110.07,Bravo Brio Restaurant Group Inc,Retail,Food & Beverage Retailing,United States,Spice Private Equity Ltd,Financials,Alternative Financial Investments,Switzerland,Piper Jaffray Cos,,339.79,20.00,110.07,Retail Trade-Eating and Drinking Places,Public,,"2,018.00"
3222619040,07/03/2018,12/03/2018,2.47,Avtodizel PAO,Industrials,Automobiles & Components,Russia,GAZ PJSC,Industrials,Automobiles & Components,Russia,,,344.33,33.67,100.93,Transportation Equipment,Public,,"2,018.00"
3218100040,01/03/2018,01/03/2018,98.62,Knot Shuttle Tankers 30 AS,Industrials,Transportation & Infrastructure,Norway,Knot Shuttle Tankers AS,Industrials,Transportation & Infrastructure,Norway,,,18.22,6.37,95.14,Transportation and Shipping (except air),Private,,"2,018.00"
3224023040,01/03/2018,01/03/2018,62.82,Wolford AG,Consumer Staples,Textiles & Apparel,Austria,Fosun Industrial Holdings Ltd,Financials,Asset Management,Hong Kong,,,154.58,-1.02,94.26,Retail Trade-General Merchandise and Apparel,Public,,"2,018.00"
3224036040,01/03/2018,01/03/2018,33.82,Wolford AG,Consumer Staples,Textiles & Apparel,Austria,Fosun Industrial Holdings Ltd,Financials,Asset Management,Hong Kong,,,154.58,-1.02,99.11,Retail Trade-General Merchandise and Apparel,Public,,"2,018.00"
3218053040,28/02/2018,28/02/2018,10.03,Murmanskii Morskoi Torgovyi Port PAO,Industrials,Transportation & Infrastructure,Russia,SUEK JSC,Materials,Metals & Mining,Russia,,,114.59,61.89,225.39,Transportation and Shipping (except air),Public,,"2,018.00"
3217351020,27/02/2018,27/02/2018,292.75,PHH Corp,Financials,Credit Institutions,United States,Ocwen Financial Corp,Financials,Other Financials,United States,Credit Suisse,Barclays PLC,410.14,-115.87,249.42,Credit Institutions,Public,,"2,018.00"
3372765040,27/02/2018,13/04/2018,2.60,SDC Investimentos SGPS SA,Financials,Other Financials,Portugal,Oceanlotus Lda,Financials,Other Financials,Portugal,,,6.02,-13.68,111.57,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3218277020,26/02/2018,26/02/2018,89.11,RLJ Entertainment Inc,Media and Entertainment,Motion Pictures / Audio Visual,United States,AMC Networks Inc,Media and Entertainment,Cable,United States,Allen & Co Inc,Citi,71.94,24.62,102.14,Electronic and Electrical Equipment,Public,,"2,018.00"
3220123040,26/02/2018,05/03/2018,0.67,Fair Value REIT AG,Real Estate,REITs,Germany,AEPF III 15 Sarl,Financials,Other Financials,Luxembourg,Rothschild & Co,,28.22,12.37,210.91,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3216130040,23/02/2018,23/02/2018,170.18,RealDolmen NV,High Technology,IT Consulting & Services,Belgium,GFI Informatique SA,High Technology,IT Consulting & Services,France,Lazard,BNP Paribas SA,243.76,14.30,167.22,Business Services,Public,,"2,018.00"
3215274040,21/02/2018,21/02/2018,110.00,Karmo Spirit SL,Consumer Staples,Food and Beverage,Spain,HIG Capital LLC,Financials,Alternative Financial Investments,United States,,PricewaterhouseCoopers,44.58,7.78,156.41,Food and Kindred Products,Private,,"2,018.00"
3214798040,19/02/2018,19/02/2018,93.27,Lsdm Ltd,Consumer Products and Services,Home Furnishings,United Kingdom,Grafton Group PLC,Materials,Construction Materials,Ireland,,,53.81,7.13,96.52,Wholesale Trade-Durable Goods,Private,,"2,018.00"
3225346040,19/02/2018,19/02/2018,57.94,SHW AG,Industrials,Automobiles & Components,Germany,SHW Beteiligungs GmbH,Financials,Other Financials,Germany,,,400.58,41.27,229.76,Metal and Metal Products,Public,,"2,018.00"
3226047020,15/02/2018,16/03/2018,11.01,Computer Task Group Inc,High Technology,IT Consulting & Services,United States,Computer Task Group Inc,High Technology,IT Consulting & Services,United States,,,251.09,5.27,104.66,Business Services,Public,,"2,018.00"
3213784040,14/02/2018,14/02/2018,15.00,Industrie Saleri Italo SpA,Industrials,Automobiles & Components,Italy,Quamvis SCA Sicav-FIS,Financials,Other Financials,Luxembourg,,,168.96,17.55,112.04,Transportation Equipment,Private,,"2,018.00"
3214122040,14/02/2018,14/02/2018,8.26,Vexim SA,Healthcare,Biotechnology,France,Stryker France MM Holdings SASU,Financials,Other Financials,France,,BNP Paribas SA,20.30,-2.98,177.29,Drugs,Public,,"2,018.00"
3212567020,12/02/2018,12/02/2018,246.11,Amber Road Inc,High Technology,Internet Software & Services,United States,E2open LLC,High Technology,Software,United States,,,65.92,-5.01,246.11,Prepackaged Software,Public,,"2,018.00"
